Data e hora,Pressão - PC 52 (mca),Pressao - PM D52 (mca),Vazao (L/s),Ano,Mes,Dia,Dia da Semana,Horario,Turno,Estacao
2021-03-10T13:15:00Z,6.9,9.1,212.781982421875,2021,3,10,Quarta,13:15:00,Tarde,Verao
2021-03-10T13:30:00Z,6.5,9,181.899932861328,2021,3,10,Quarta,13:30:00,Tarde,Verao
2021-03-10T13:45:00Z,6.4,8.9,208.310012817383,2021,3,10,Quarta,13:45:00,Tarde,Verao
2021-03-10T14:00:00Z,6,8.8,175.451370239258,2021,3,10,Quarta,14:00:00,Tarde,Verao
2021-03-10T14:15:00Z,7.4,8.7,222.059585571289,2021,3,10,Quarta,14:15:00,Tarde,Verao
2021-03-10T14:30:00Z,8.6,8.6,212.781982421875,2021,3,10,Quarta,14:30:00,Tarde,Verao
2021-03-10T14:45:00Z,8.7,9.9,204.09587097168,2021,3,10,Quarta,14:45:00,Tarde,Verao
2021-03-10T15:00:00Z,8.9,11.3,227.290374755859,2021,3,10,Quarta,15:00:00,Tarde,Verao
2021-03-10T15:15:00Z,8.8,11.1,196.091094970703,2021,3,10,Quarta,15:15:00,Tarde,Verao
2021-03-10T15:30:00Z,8.7,10.9,212.781982421875,2021,3,10,Quarta,15:30:00,Tarde,Verao
2021-03-10T15:45:00Z,8.2,10.7,237.897491455078,2021,3,10,Quarta,15:45:00,Tarde,Verao
2021-03-10T16:00:00Z,7.7,10.3,217.506454467773,2021,3,10,Quarta,16:00:00,Tarde,Verao
2021-03-10T16:15:00Z,7.9,10,192.256469726563,2021,3,10,Quarta,16:15:00,Tarde,Verao
2021-03-10T16:30:00Z,7.6,10.2,227.290374755859,2021,3,10,Quarta,16:30:00,Tarde,Verao
2021-03-10T16:45:00Z,7.1,10,227.287231445313,2021,3,10,Quarta,16:45:00,Tarde,Verao
2021-03-10T17:00:00Z,6.7,9.6,200.096481323242,2021,3,10,Quarta,17:00:00,Tarde,Verao
2021-03-10T17:15:00Z,6.4,9.1,93.4636993408203,2021,3,10,Quarta,17:15:00,Tarde,Verao
2021-03-10T17:30:00Z,6.5,8.7,45.0481185913086,2021,3,10,Quarta,17:30:00,Tarde,Verao
2021-03-10T17:45:00Z,6.1,8.2,52.9136581420898,2021,3,10,Quarta,17:45:00,Tarde,Verao
2021-03-10T18:00:00Z,5.9,8.2,48.0802001953125,2021,3,10,Quarta,18:00:00,Noite,Verao
2021-03-10T18:15:00Z,5.6,7.9,46.9514808654785,2021,3,10,Quarta,18:15:00,Noite,Verao
2021-03-10T18:30:00Z,6.2,7.6,68.4935531616211,2021,3,10,Quarta,18:30:00,Noite,Verao
2021-03-10T18:45:00Z,6.6,7.6,97.0938186645508,2021,3,10,Quarta,18:45:00,Noite,Verao
2021-03-10T19:00:00Z,6.9,9,153.855545043945,2021,3,10,Quarta,19:00:00,Noite,Verao
2021-03-10T19:15:00Z,6.7,9.2,185.196914672852,2021,3,10,Quarta,19:15:00,Noite,Verao
2021-03-10T19:30:00Z,6.6,8.8,169.505737304688,2021,3,10,Quarta,19:30:00,Noite,Verao
2021-03-10T19:45:00Z,7,8.4,208.341812133789,2021,3,10,Quarta,19:45:00,Noite,Verao
2021-03-10T20:00:00Z,6.7,8.4,163.946563720703,2021,3,10,Quarta,20:00:00,Noite,Verao
2021-03-10T20:15:00Z,6.5,8.6,192.31852722168,2021,3,10,Quarta,20:15:00,Noite,Verao
