"Situação da Ligação de Água","Categoria de Imóvel","Perfil de Imóvel","Setor","CONSUMO_MEDIDO","TIPO_CONSUMO","MUNICIPIO","QUANTIDADE_ECONOMIAS","x","y"
"CORTADO","RESIDENCIAL","NORMAL",613,0,"CONS CORT","RECIFE",2,-3886285.21190283,-907960.127170551
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",2,-3886286.35482005,-907965.716240429
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"MIN FIXAD","RECIFE",1,-3886295.17421803,-907964.205820736
"LIGADO","RESIDENCIAL","NORMAL",613,2,"REAL","RECIFE",1,-3886293.83448796,-907958.280977326
"LIGADO","RESIDENCIAL","NORMAL",613,19,"REAL","RECIFE",1,-3886293.03554797,-907954.498294303
"LIGADO","RESIDENCIAL","NORMAL",613,12,"REAL","RECIFE",2,-3886291.4559244,-907947.762805096
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886290.32091087,-907942.743742922
"LIGADO","RESIDENCIAL","NORMAL",613,4,"REAL","RECIFE",1,-3886289.17409747,-907937.672167496
"LIGADO","RESIDENCIAL","NORMAL",613,4,"REAL","RECIFE",1,-3886288.00668997,-907932.510070972
"LIGADO","RESIDENCIAL","NORMAL",613,10,"REAL","RECIFE",1,-3886286.84829935,-907927.387219827
"LIGADO","RESIDENCIAL","NORMAL",613,2,"REAL","RECIFE",1,-3886285.73566104,-907922.466777913
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886284.53663881,-907917.164683837
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",2,-3886283.25178925,-907911.483074262
"LIGADO","RESIDENCIAL","NORMAL",613,18,"REAL","RECIFE",1,-3886289.42679272,-907909.731003029
"LIGADO","RESIDENCIAL","TARIFA SOCIAL",613,8,"REAL","RECIFE",1,-3886290.88229506,-907916.092592864
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",1,-3886292.01229921,-907921.031813112
"LIGADO","RESIDENCIAL","TARIFA SOCIAL",613,6,"REAL","RECIFE",1,-3886293.14775801,-907925.994535788
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886294.33676149,-907931.191041044
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"MEDIA HD","RECIFE",1,-3886295.52999512,-907936.406663275
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",2,-3886296.68315372,-907941.446865209
"LIGADO","RESIDENCIAL","NORMAL",613,2,"REAL","RECIFE",1,-3886696.88351362,-908234.352586472
"CORTADO","RESIDENCIAL","NORMAL",613,NA,"CONS CORT","RECIFE",1,-3886297.74625486,-907946.093157791
"LIGADO","RESIDENCIAL","NORMAL",613,10,"REAL","RECIFE",1,-3886299.04991742,-907951.791301766
"LIGADO","RESIDENCIAL","NORMAL",613,8,"REAL","RECIFE",1,-3886300.23135117,-907956.954749889
"LIGADO","RESIDENCIAL","NORMAL",613,NA,"N MEDIDO","RECIFE",2,-3886301.58154527,-907962.856428554
